loss,grad_norm,learning_rate,epoch,step,eval_0_precision,eval_0_recall,eval_0_f1-score,eval_0_support,eval_1_precision,eval_1_recall,eval_1_f1-score,eval_1_support,eval_accuracy,eval_macro avg_precision,eval_macro avg_recall,eval_macro avg_f1-score,eval_macro avg_support,eval_weighted avg_precision,eval_weighted avg_recall,eval_weighted avg_f1-score,eval_weighted avg_support,eval_roc_auc_0_vs_rest,eval_roc_auc_1_vs_rest,eval_roc_auc_average,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.0824,2.463618040084839,1.8484848484848485e-06,19.0,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19.0,1900,0.9858989424206815,0.9469525959367946,0.9660333909038572,886.0,0.9034907597535934,0.9734513274336283,0.9371671991480298,452.0,0.9559043348281017,0.9446948510871375,0.9602019616852114,0.9516002950259435,1338.0,0.958060004778287,0.9559043348281017,0.9562818821791681,1338.0,0.9946563055594398,0.99465630555944,0.99465630555944,0.10365241020917892,0.9545,1401.736,44.001,,,,,
0.0852,3.91133189201355,1.8181818181818183e-06,19.503778337531486,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0787,3.331486463546753,1.7878787878787879e-06,20.0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20.0,2000,0.9836448598130841,0.9503386004514672,0.9667049368541906,886.0,0.9087136929460581,0.9690265486725663,0.9379014989293362,452.0,0.9566517189835575,0.9461792763795711,0.9596825745620168,0.9523032178917634,1338.0,0.9583317899895446,0.9566517189835575,0.9569746274804729,1338.0,0.9946725364070398,0.9946725364070397,0.9946725364070397,0.10181977599859238,0.9576,1397.228,43.859,,,,,
0.0835,7.068290710449219,1.7575757575757577e-06,20.503778337531486,2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0813,2.8192741870880127,1.7272727272727275e-06,21.0,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21.0,2100,0.9858657243816255,0.9446952595936795,0.9648414985590779,886.0,0.8997955010224948,0.9734513274336283,0.9351753453772582,452.0,0.9544095665171899,0.9428306127020601,0.9590732935136539,0.950008421968168,1338.0,0.9567896848014109,0.9544095665171899,0.9548197487547562,1338.0,0.994651311452486,0.9946513114524862,0.9946513114524861,0.10750678926706314,0.96,1393.731,43.749,,,,,
0.082,7.044594764709473,1.6969696969696969e-06,21.503778337531486,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0784,3.3185603618621826,1.6666666666666669e-06,22.0,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,22.0,2200,0.9870283018867925,0.9446952595936795,0.9653979238754326,886.0,0.9,0.9756637168141593,0.9363057324840764,452.0,0.9551569506726457,0.9435141509433962,0.9601794882039194,0.9508518281797544,1338.0,0.9576286064810898,0.9551569506726457,0.9555700684876203,1338.0,0.9948023831878384,0.9948023831878384,0.9948023831878384,0.10215307772159576,0.9529,1404.065,44.074,,,,,
0.0818,5.960018634796143,1.6363636363636363e-06,22.503778337531486,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0786,1.3932092189788818,1.606060606060606e-06,23.0,2300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,23.0,2300,0.9870283018867925,0.9446952595936795,0.9653979238754326,886.0,0.9,0.9756637168141593,0.9363057324840764,452.0,0.9551569506726457,0.9435141509433962,0.9601794882039194,0.9508518281797544,1338.0,0.9576286064810898,0.9551569506726457,0.9555700684876203,1338.0,0.994839838989992,0.9948398389899918,0.994839838989992,0.10532781481742859,0.9533,1403.593,44.059,,,,,
0.0786,4.421054363250732,1.5757575757575759e-06,23.503778337531486,2350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0769,2.937649965286255,1.5454545454545454e-06,24.0,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24.0,2400,0.9870435806831567,0.945823927765237,0.9659942363112392,886.0,0.901840490797546,0.9756637168141593,0.9373007438894793,452.0,0.9559043348281017,0.9444420357403513,0.9607438222896982,0.9516474901003592,1338.0,0.9582604740850281,0.9559043348281017,0.9563010684677149,1338.0,0.9950133842066362,0.9950133842066361,0.9950133842066362,0.10570132732391357,0.9691,1380.693,43.34,,,,,
0.0778,4.981462001800537,1.5151515151515152e-06,24.503778337531486,2450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0764,2.4611687660217285,1.484848484848485e-06,25.0,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,25.0,2500,0.9859154929577465,0.9480812641083521,0.9666283084004603,886.0,0.9053497942386831,0.9734513274336283,0.9381663113006397,452.0,0.9566517189835575,0.9456326435982148,0.9607662957709902,0.95239730985055,1338.0,0.958698978891217,0.9566517189835575,0.9570133437598631,1338.0,0.9949621946103597,0.9949621946103597,0.9949621946103597,0.10273601114749908,0.957,1398.161,43.888,,,,,
0.0782,7.886010646820068,1.4545454545454546e-06,25.503778337531486,2550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0747,2.683854579925537,1.4242424242424242e-06,26.0,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,26.0,2600,0.9870740305522914,0.9480812641083521,0.9671848013816926,886.0,0.9055441478439425,0.9756637168141593,0.939297124600639,452.0,0.9573991031390134,0.946309089198117,0.9618724904612557,0.9532409629911658,1338.0,0.9595317981276474,0.9573991031390134,0.9577638522747896,1338.0,0.9950108871531593,0.9950108871531593,0.9950108871531593,0.10454470664262772,0.9532,1403.686,44.062,,,,,
0.0797,6.873225212097168,1.393939393939394e-06,26.503778337531486,2650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0754,1.6753122806549072,1.3636363636363636e-06,27.0,2700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,27.0,2700,0.9870892018779343,0.9492099322799097,0.9677790563866513,886.0,0.9074074074074074,0.9756637168141593,0.9402985074626866,452.0,0.9581464872944694,0.9472483046426708,0.9624368245470345,0.954038781924669,1338.0,0.9601712862570985,0.9581464872944694,0.9584956422509023,1338.0,0.9950733134900818,0.9950733134900818,0.9950733134900818,0.10008107125759125,0.9576,1397.18,43.858,,,,,
0.0763,5.262660980224609,1.3333333333333332e-06,27.503778337531486,2750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0757,3.181443929672241,1.3030303030303032e-06,28.0,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,28.0,2800,0.9882075471698113,0.945823927765237,0.9665513264129181,886.0,0.9020408163265307,0.9778761061946902,0.9384288747346072,452.0,0.9566517189835575,0.945124181748171,0.9618500169799636,0.9524901005737627,1338.0,0.9590989056592262,0.9566517189835575,0.9570510662046995,1338.0,0.9949834195649134,0.9949834195649134,0.9949834195649134,0.10501609742641449,0.9625,1390.16,43.637,,,,,
0.0737,5.319275379180908,1.2727272727272728e-06,28.503778337531486,2850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0739,1.7061687707901,1.2424242424242424e-06,29.0,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,29.0,2900,0.9871043376318874,0.9503386004514672,0.968372627947096,886.0,0.9092783505154639,0.9756637168141593,0.9413020277481323,452.0,0.9588938714499252,0.9481913440736757,0.9630011586328133,0.9548373278476141,1338.0,0.9608133464684917,0.9588938714499252,0.9592277017214371,1338.0,0.9951444795141732,0.9951444795141733,0.9951444795141733,0.1020166277885437,0.9633,1389.002,43.601,,,,,
0.0744,3.7207655906677246,1.2121212121212122e-06,29.503778337531486,2950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0714,1.9690080881118774,1.1818181818181818e-06,30.0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,30.0,3000,0.983739837398374,0.9559819413092551,0.9696622781911849,886.0,0.9182389937106918,0.9690265486725663,0.9429494079655544,452.0,0.9603886397608371,0.9509894155545329,0.9625042449909107,0.9563058430783696,1338.0,0.9616124970793664,0.9603886397608371,0.9606381994602544,1338.0,0.9952306278591263,0.9952306278591263,0.9952306278591263,0.09481846541166306,0.9586,1395.845,43.816,,,,,
0.0749,6.112326145172119,1.1515151515151514e-06,30.503778337531486,3050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0734,1.9685472249984741,1.1212121212121214e-06,31.0,3100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,31.0,3100,0.9859484777517564,0.9503386004514672,0.967816091954023,886.0,0.9090909090909091,0.9734513274336283,0.9401709401709402,452.0,0.9581464872944694,0.9475196934213328,0.9618949639425478,0.9539935160624815,1338.0,0.9599846354238766,0.9581464872944694,0.9584770720691549,1338.0,0.9952206396452187,0.9952206396452186,0.9952206396452186,0.10185187309980392,0.9558,1399.831,43.941,,,,,
0.0731,3.373972177505493,1.090909090909091e-06,31.503778337531486,3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.07,2.568618059158325,1.0606060606060606e-06,32.0,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,32.0,3200,0.9859649122807017,0.9514672686230248,0.9684089603676048,886.0,0.9109730848861284,0.9734513274336283,0.9411764705882353,452.0,0.9588938714499252,0.948468998583415,0.9624592980283265,0.9547927154779201,1338.0,0.9606313502610102,0.9588938714499252,0.9592093449862333,1338.0,0.9952343734393415,0.9952343734393416,0.9952343734393416,0.0999811515212059,0.9637,1388.468,43.584,,,,,
0.0752,5.676429748535156,1.0303030303030304e-06,32.503778337531486,3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0712,1.4486092329025269,1e-06,33.0,3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,33.0,3300,0.9859484777517564,0.9503386004514672,0.967816091954023,886.0,0.9090909090909091,0.9734513274336283,0.9401709401709402,452.0,0.9581464872944694,0.9475196934213328,0.9618949639425478,0.9539935160624815,1338.0,0.9599846354238766,0.9581464872944694,0.9584770720691549,1338.0,0.9952930541960486,0.9952930541960486,0.9952930541960486,0.10118257254362106,0.9553,1400.576,43.964,,,,,
0.0747,5.9745259284973145,9.696969696969698e-07,33.503778337531486,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0707,2.1304492950439453,9.393939393939395e-07,34.0,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,34.0,3400,0.9837775202780996,0.9582392776523702,0.9708404802744426,886.0,0.9221052631578948,0.9690265486725663,0.9449838187702265,452.0,0.9618834080717489,0.9529413917179972,0.9636329131624682,0.9579121495223346,1338.0,0.9629435440312142,0.9618834080717489,0.9621056439516431,1338.0,0.9953692143270939,0.9953692143270941,0.995369214327094,0.09289510548114777,0.962,1390.92,43.661,,,,,
0.0715,7.5209856033325195,9.090909090909091e-07,34.503778337531486,3450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0711,1.3711364269256592,8.787878787878788e-07,35.0,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
